col0,col1,col2,col3,col4,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
Year,Sex,Rank,Name,Count,63.10,7.52,5.01,(S),(S),22.78
1960,Female,1,SUSAN,3299,80.84,2.72,4.89,4.62,2.58,4.35
1960,Female,2,MARY,3248,79.91,10.97,2.57,0.50,2.21,3.84
1960,Female,3,KAREN,3156,86.21,5.17,0.99,0.62,2.71,4.31
1960,Female,4,CYNTHIA,2982,,,,,,
1960,Female,5,LISA,2839,88.92,1.94,(S),(S),1.87,6.30
1960,Female,6,LINDA,2807,76.44,7.36,2.38,0.00,1.81,12.00
1960,Female,7,DEBRA,2692,71.43,18.30,0.00,0.00,5.36,4.91
1960,Female,8,PATRICIA*,2668,,,,,,
1960,Female,9,DEBORAH,2490,71.15,11.54,3.21,(S),(S),13.46
1960,Female,10,SANDRA,2404,53.90,9.82,9.32,1.51,3.27,22.17
1960,Female,11,LAURA,2032,68.18,6.47,(S),(S),1.58,21.91
1960,Female,12,ELIZABET*,1905,,,,,,
1960,Female,13,PAMELA,1839,58.94,9.93,9.27,(S),(S),19.21
1960,Female,14,DONNA,1820,87.22,4.73,(S),(S),1.58,5.21
1960,Female,15,KATHLEEN*,1772,,,,,,
1960,Female,16,LORI,1746,88.78,2.56,3.54,(S),(S),3.15
1960,Female,17,KIMBERLY*,1710,,,,,,
1960,Female,18,TERESA,1709,60.39,2.92,(S),(S),2.27,33.12
1960,Female,19,JULIE,1665,76.54,6.70,3.35,(S),(S),11.17
1960,Female,20,CHERYL,1639,,,,,,
1960,Female,21,BARBARA,1605,76.92,7.74,0.79,0.25,1.94,12.37
1960,Female,22,NANCY,1569,69.87,17.63,(S),(S),3.21,8.01
1960,Female,23,DENISE,1501,78.49,11.78,(S),(S),1.60,6.64
1960,Female,24,CHRISTIN*,1410,,,,,,
1960,Female,25,CAROL,1322,73.65,15.09,2.29,0.64,2.23,6.11
1960,Male,1,MICHAEL,8770,86.36,7.62,1.13,0.73,1.93,2.23
1960,Male,2,DAVID,8033,65.29,13.75,10.50,1.84,2.60,6.03
1960,Male,3,ROBERT,6798,74.28,16.04,1.67,0.56,2.04,5.40
1960,Male,4,JOHN,6308,47.00,20.10,14.41,12.56,3.58,2.36
1960,Male,5,JAMES,5900,54.45,38.09,0.81,2.51,2.10,2.04
1960,Male,6,MARK,5389,71.70,12.38,9.53,2.10,2.06,2.22
1960,Male,7,RICHARD,4436,73.19,22.09,0.61,0.52,1.64,1.94
1960,Male,8,STEVEN,4310,71.55,19.64,1.04,2.01,1.97,3.79
1960,Male,9,WILLIAM,3943,34.04,59.01,1.61,0.67,2.33,2.34
1960,Male,10,DANIEL,3081,67.02,24.05,2.12,0.58,1.95,4.27
1960,Male,11,THOMAS,2978,55.53,38.17,1.63,1.01,2.00,1.66
1960,Male,12,JEFFREY,2940,79.11,15.81,0.63,0.45,1.82,2.18
1960,Male,13,TIMOTHY,2695,70.93,20.09,2.58,1.68,2.38,2.34
1960,Male,14,KENNETH,2563,60.89,17.48,1.69,15.64,2.15,2.15
1960,Male,15,RONALD,2477,84.57,7.09,2.51,0.72,1.70,3.41
1960,Male,16,KEVIN,2325,79.64,12.11,2.06,1.29,2.06,2.84
1960,Male,17,GREGORY,2266,80.87,14.62,0.43,0.75,1.51,1.82
1960,Male,18,JOSEPH,2178,35.48,48.84,6.91,1.09,5.31,2.37
1960,Male,19,CHARLES,2172,38.87,47.28,0.80,2.05,3.71,7.28
1960,Male,20,DONALD,2162,54.85,40.87,0.62,0.92,1.73,1.00
1960,Male,21,PAUL,2136,73.80,16.16,3.63,1.94,2.60,1.87
1960,Male,22,BRIAN,1968,85.49,7.85,1.34,1.10,1.34,2.89
1960,Male,23,CHRISTOP*,1951,,,,,,
1960,Male,24,ANTHONY,1906,63.43,30.43,1.10,0.62,1.84,2.59
1960,Male,25,SCOTT,1893,62.60,32.26,0.41,1.15,1.90,1.68
1961,Female,1,LISA,3497,88.92,1.94,(S),(S),1.87,6.30
1961,Female,2,SUSAN,3221,80.84,2.72,4.89,4.62,2.58,4.35
1961,Female,3,KAREN,2985,86.21,5.17,0.99,0.62,2.71,4.31
1961,Female,4,MARY,2973,79.91,10.97,2.57,0.50,2.21,3.84
1961,Female,5,CYNTHIA,2832,,,,,,
1961,Female,6,LINDA,2674,76.44,7.36,2.38,0.00,1.81,12.00
1961,Female,7,PATRICIA*,2522,,,,,,
1961,Female,8,DEBORAH,2495,71.15,11.54,3.21,(S),(S),13.46
1961,Female,9,SANDRA,2483,53.90,9.82,9.32,1.51,3.27,22.17
1961,Female,10,DEBRA,2211,71.43,18.30,0.00,0.00,5.36,4.91
1961,Female,11,LAURA,2073,68.18,6.47,(S),(S),1.58,21.91
1961,Female,12,ELIZABET*,2043,,,,,,
1961,Female,13,JULIE,1895,76.54,6.70,3.35,(S),(S),11.17
1961,Female,14,LORI,1881,88.78,2.56,3.54,(S),(S),3.15
1961,Female,15,KIMBERLY*,1850,,,,,,
1961,Female,16,KATHLEEN*,1842,,,,,,
1961,Female,17,PAMELA,1778,58.94,9.93,9.27,(S),(S),19.21
1961,Female,18,TERESA,1690,60.39,2.92,(S),(S),2.27,33.12
1961,Female,19,DONNA,1639,87.22,4.73,(S),(S),1.58,5.21
1961,Female,20,CHRISTIN*,1628,,,,,,
1961,Female,21,CHERYL,1582,,,,,,
1961,Female,22,DENISE,1532,78.49,11.78,(S),(S),1.60,6.64
1961,Female,23,NANCY,1517,69.87,17.63,(S),(S),3.21,8.01
1961,Female,24,BARBARA,1494,76.92,7.74,0.79,0.25,1.94,12.37
1961,Female,25,ROBIN,1378,84.50,9.55,1.18,0.11,1.92,2.74
1961,Male,1,MICHAEL,9444,86.36,7.62,1.13,0.73,1.93,2.23
1961,Male,2,DAVID,8353,65.29,13.75,10.50,1.84,2.60,6.03
1961,Male,3,ROBERT,7054,74.28,16.04,1.67,0.56,2.04,5.40
1961,Male,4,JOHN,6751,47.00,20.10,14.41,12.56,3.58,2.36
1961,Male,5,JAMES,6055,54.45,38.09,0.81,2.51,2.10,2.04
1961,Male,6,MARK,5339,71.70,12.38,9.53,2.10,2.06,2.22
1961,Male,7,STEVEN,4211,71.55,19.64,1.04,2.01,1.97,3.79
1961,Male,8,RICHARD,4186,73.19,22.09,0.61,0.52,1.64,1.94
1961,Male,9,WILLIAM,3763,34.04,59.01,1.61,0.67,2.33,2.34
1961,Male,10,DANIEL,3212,67.02,24.05,2.12,0.58,1.95,4.27
1961,Male,11,JEFFREY,3118,79.11,15.81,0.63,0.45,1.82,2.18
1961,Male,12,THOMAS,2991,55.53,38.17,1.63,1.01,2.00,1.66
1961,Male,13,KENNETH,2534,60.89,17.48,1.69,15.64,2.15,2.15
1961,Male,14,RONALD,2515,84.57,7.09,2.51,0.72,1.70,3.41
1961,Male,15,KEVIN,2449,79.64,12.11,2.06,1.29,2.06,2.84
1961,Male,16,TIMOTHY,2405,70.93,20.09,2.58,1.68,2.38,2.34
1961,Male,17,GREGORY,2364,80.87,14.62,0.43,0.75,1.51,1.82
