Name,Year,Count,Sex,Rank
Jaxson,2019,50,M,219=
Ailbe,2019,5,M,219=
Anderson,2019,5,M,219=
Andy,2019,5,M,219=
Antonio,2019,5,M,225=
Aodhan,2019,5,M,225=
Arjan,2019,5,M,225=
Artur,2019,5,M,225=
Aryan,2019,5,M,225=
Ashley,2019,5,M,225=
August,2019,5,M,225=
Aulay,2019,5,M,225=
Ayman,2019,5,M,233=
Brendan,2019,5,M,233=
Brian,2019,5,M,233=
Caden,2019,5,M,233=
Cailen,2019,5,M,233=
Calder,2019,5,M,233=
Carlos,2019,5,M,233=
Casper,2019,5,M,233=
Conlyn,2019,5,M,233=
Cormac,2019,5,M,233=
Dale,2019,5,M,233=
Dalton,2019,5,M,244=
Damon,2019,5,M,244=
Danish,2019,5,M,244=
Dante,2019,5,M,244=
Darius,2019,5,M,244=
Darren,2019,5,M,244=
Daryl,2019,5,M,250=
Deacon,2019,5,M,250=
Dennis,2019,5,M,250=
Dougal,2019,5,M,250=
Eoghan,2019,5,M,250=
Ernest,2019,5,M,250=
Fionn,2019,5,M,250=
Ford,2019,5,M,250=
Fox,2019,5,M,258=
Franklin,2019,5,M,258=
Georgie,2019,5,M,258=
Gray,2019,5,M,258=
Haider,2019,5,M,258=
Harper,2019,5,M,258=
Iain,2019,5,M,264=
Ianis,2019,5,M,264=
Igor,2019,5,M,264=
Isaiah,2019,5,M,264=
Issac,2019,5,M,264=
Jai,2019,5,M,264=
Jonas,2019,5,M,264=
Kaden,2019,5,M,264=
Kailen,2019,5,M,264=
Keanu,2019,5,M,264=
Kingsley,2019,5,M,264=
Knox,2019,5,M,264=
Kobe,2019,5,M,264=
Koen,2019,5,M,264=
Kolby,2019,5,M,278=
Kolton,2019,5,M,278=
Krystian,2019,5,M,278=
Kyron,2019,5,M,278=
Laith,2019,5,M,278=
Laurie,2019,5,M,278=
Leland,2019,5,M,278=
Lleyton,2019,5,M,278=
Loui,2019,5,M,278=
Maddox,2019,5,M,278=
Markus,2019,5,M,278=
Mateusz,2019,5,M,289=
Mathew,2019,5,M,289=
Natan,2019,5,M,289=
Oli,2019,5,M,289=
Orion,2019,5,M,289=
Orrin,2019,5,M,289=
Orson,2019,5,M,289=
Patryk,2019,5,M,296=
Rafe,2019,5,M,296=
Raphael,2019,5,M,296=
Ray,2019,5,M,296=
Raymond,2019,5,M,296=
Seumas,2019,5,M,296=
Solomon,2019,5,M,296=
Tadhg,2019,5,M,296=
Ted,2019,5,M,296=
Teddie,2019,5,M,296=
Tiernan,2019,5,M,296=
Tierney,2019,5,M,296=
Timothy,2019,5,M,296=
Torrin,2019,5,M,296=
Wallace,2019,5,M,296=
Wesley,2019,5,M,296=
Yousaf,2019,5,M,296=
Yousef,2019,5,M,296=
Yousif,2019,5,M,296=
Christopher,2019,49,M,296=
Teddy,2019,49,M,296=
Eli,2019,48,M,296=
Marcus,2019,48,M,296=
Parker,2019,48,M,296=
Tyler,2019,48,M,320=
Euan,2019,47,M,320=
Hudson,2019,47,M,320=
Joey,2019,47,M,320=
Austin,2019,46,M,320=
Zac,2019,46,M,320=
Dominic,2019,45,M,320=
Kayden,2019,45,M,320=
Zack,2019,45,M,320=
Jack,2019,449,M,320=
Harvey,2019,44,M,320=
Rowan,2019,44,M,320=
Hugo,2019,43,M,320=
Edward,2019,42,M,320=
Fergus,2019,42,M,334=
Finley,2019,42,M,334=
Patrick,2019,42,M,334=
Cillian,2019,41,M,334=
Conor,2019,40,M,334=
Ruben,2019,40,M,334=
Alejandro,2019,4,M,334=
Alessandro,2019,4,M,334=
Alexandros,2019,4,M,334=
Aonghas,2019,4,M,334=
Archy,2019,4,M,334=
Ares,2019,4,M,334=
Armaan,2019,4,M,334=
Aydan,2019,4,M,334=
Baxter,2019,4,M,334=
Beauden,2019,4,M,334=
Benedict,2019,4,M,334=
Bertie,2019,4,M,334=
Blayne,2019,4,M,334=
Bowie,2019,4,M,334=
Broden,2019,4,M,334=
Bryan,2019,4,M,355=
Buddy,2019,4,M,355=
Caolan,2019,4,M,355=
Cayde,2019,4,M,355=
Chase,2019,4,M,355=
Che,2019,4,M,355=
Coll,2019,4,M,355=
Colson,2019,4,M,355=
Conner,2019,4,M,355=
Corrie,2019,4,M,355=
Damien,2019,4,M,355=
Daniyal,2019,4,M,355=
Danyal,2019,4,M,355=
Dario,2019,4,M,355=
Devlin,2019,4,M,355=
Dillon,2019,4,M,355=
Dorian,2019,4,M,355=
Eamon,2019,4,M,355=
Edmund,2019,4,M,355=
Emil,2019,4,M,355=
Emmett,2019,4,M,355=
Ewen,2019,4,M,355=
Finnlay,2019,4,M,355=
Forbes,2019,4,M,355=
Francesco,2019,4,M,355=
Franco,2019,4,M,355=
Gerard,2019,4,M,355=
Giovanni,2019,4,M,355=
Grey,2019,4,M,355=
Hadley,2019,4,M,355=
Harlow,2019,4,M,355=
Haydn,2019,4,M,355=
Heath,2019,4,M,355=
Howie,2019,4,M,355=
Ibraheem,2019,4,M,355=
Jameson,2019,4,M,355=
Jayce,2019,4,M,355=
Jonny,2019,4,M,355=
Judah,2019,4,M,355=
Jura,2019,4,M,394=
Kaelan,2019,4,M,394=
Kelvin,2019,4,M,394=
Khalid,2019,4,M,394=
Kurtis,2019,4,M,394=
Kyan,2019,4,M,394=
Laurence,2019,4,M,394=
Leonidas,2019,4,M,394=
Lomond,2019,4,M,394=
Lorcan,2019,4,M,394=
Lorenzo,2019,4,M,394=
Luis,2019,4,M,394=
Maison,2019,4,M,394=
Mayson,2019,4,M,394=
Michal,2019,4,M,394=
Milosz,2019,4,M,394=
Morgan,2019,4,M,394=
Murphy,2019,4,M,394=
Ossian,2019,4,M,394=
Ozzy,2019,4,M,394=
Pearse,2019,4,M,394=
